Tumor	abbe
Adrenal Gland 	ADRENAL_GLAND
Ampulla of Vater 	AMPULLA_OF_VATER
Lymphoid 	LYMPH
Myeloid 	MYELOID
Other 	OTHER
Ovary/Fallopian Tube 	OVARY
Peripheral Nervous System 	PNS
Peritoneum 	PERITONEUM
Pleura 	PLEURA
Prostate 	PROSTATE
Skin 	SKIN
Soft Tissue 	SOFT_TISSUE
Testis 	TESTIS
Thymus 	THYMUS
Thyroid 	THYROID
Uterus 	UTERUS
Vulva/Vagina 	VULVA
Adrenocortical Adenoma 	ACA
Adrenocortical Carcinoma 	ACC
Pheochromocytoma 	PHC
Ampullary Carcinoma 	AMPCA
Cholangiocarcinoma 	CHOL
Gallbladder Cancer 	GBC
Intracholecystic Papillary Neoplasm 	ICPN
Intraductal Papillary Neoplasm of the Bile Duct 	IPN
Bladder Adenocarcinoma 	BLAD
Bladder Squamous Cell Carcinoma 	BLSC
Bladder Urothelial Carcinoma 	BLCA
Inflammatory Myofibroblastic Bladder Tumor 	IMTB
Inverted Urothelial Papilloma 	IUP
Mucosal Melanoma of the Urethra 	URMM
Plasmacytoid/Signet Ring Cell Bladder Carcinoma 	SRCBC
Sarcomatoid Carcinoma of the Urinary Bladder 	SCB
Small Cell Bladder Cancer 	SCBC
Upper Tract Urothelial Carcinoma 	UTUC
Urachal Carcinoma 	URCA
Urethral Cancer 	UCA
Urothelial Papilloma 	UPA
Adamantinoma 	ADMA
Chondroblastoma 	CHBL
Chondrosarcoma 	CHS
Chordoma 	CHDM
Ewing Sarcoma 	ES
Giant Cell Tumor of Bone 	GCTB
Osteosarcoma 	OS
Anal Gland Adenocarcinoma 	AGA
Anal Squamous Cell Carcinoma 	ANSC
Anorectal Mucosal Melanoma 	ARMM
Appendiceal Adenocarcinoma 	APAD
Colorectal Adenocarcinoma 	COADREAD
Gastrointestinal Neuroendocrine Tumors 	GINET
Low-grade Appendiceal Mucinous Neoplasm 	LAMN
Medullary Carcinoma of the Colon 	CMC
Small Bowel Cancer 	SBC
Small Intestinal Carcinoma 	SIC
